PLZ;Ort;Strasse
87499;Wildpoldsried;Marktoberdorfer Straße
87499;Wildpoldsried;Salzstraße
87499;Wildpoldsried;Auf dem G'hau
87499;Wildpoldsried;Bahnhofstraße
87499;Wildpoldsried;Grüntenstraße
87499;Wildpoldsried;Günzacher Straße
87499;Wildpoldsried;Stephanusweg
87499;Wildpoldsried;Cypriansstraße
82266;Inning;Hirtenweg
82266;Inning;Zweigstraße
82266;Inning;Stegner Weg
82266;Inning;Am Kastenacker
95485;Warmensteinach ;Kirchweg
95485;Warmensteinach ;Gablonzer Straße
95485;Warmensteinach ;Obere Alte Poststraße
95485;Warmensteinach ;Sudetenstraße
63879;Weibersbrunn;Am Ausblick
63879;Weibersbrunn;Am Eichwald
63879;Weibersbrunn;Hauptstraße
63879;Weibersbrunn;Pfarrweg
81739;München;Rübezahlstraße
81739;München;Lavaterstraße
81739;München;Matthissonstraße
81739;München;Waldperlacher Straße
81739;München;Am Bauernwald
