PLZ,Ort,Strasse,Erste Hausnummer
82110, Germering, Dorfstra§e, 22
82110, Germering, Angerhofstra§e, 1
82110, Germering, Wettersteinstra§e, 5
82110, Germering, Wiesenstra§e, 1
82110, Germering, Fšhrenstra§e, 1
81245, MŸnchen, Olchinger Weg, 1
81245, MŸnchen, Schwemmstra§e, 1
81245, MŸnchen, Schšngeisinger Stra§e, 1
81245, MŸnchen, Ostermoosstra§e, 1
81245, MŸnchen, Hohenesterstra§e, 1
85757, Karlsfeld, Winterstra§e, 1
85757, Karlsfeld, Nelkenstra§e, 1
85757, Karlsfeld, GŠrtnerweg, 10
85757, Karlsfeld, Georg-Queri-Stra§e, 1
85757, Karlsfeld, Zweigstra§e, 1
80939, MŸnchen, Schwarzanger, 1
80939, MŸnchen, Grasrainweg, 1
80939, MŸnchen, Untere LŠnge, 1
80939, MŸnchen, Obere LŠnge, 1
80939, MŸnchen, Schmidbartlanger, 1
85737, Ismaning, Moarstra§e, 1
85737, Ismaning, Freimanner Stra§e, 1
85737, Ismaning, Haushamerstra§e, 1
85737, Ismaning, Theodolindenstra§e, 1
85737, Ismaning, Mayerbacherstra§e, 1
85586, Poing, Westring, 10
85586, Poing, Hohenzollernstra§e, 3
85586, Poing, Hohenstaufenring, 1
85586, Poing, Watzmannstra§e, 10
85586, Poing, Rosenstra§e, 1
85604, Zorneding, Ilchinger Weg, 1
85604, Zorneding, Rosa-Schšpf-Stra§e, 1
85604, Zorneding, Am Kapellenberg, 11
85604, Zorneding, Am Ziegelland, 27
85604, Zorneding, Am Bergacker, 1
85604, Zorneding, Ingelsberger Weg, 27
85662, Hohenbrunn, Hšhenkirchener Stra§e, 1
85662, Hohenbrunn, Am Schulgarten, 1
85662, Hohenbrunn, Brunnengasse, 1
85662, Hohenbrunn, Riemerlinger Stra§e, 10
85635, Hšhenkirchen-Siegertsbrunn, Haringstra§e, 1
85635, Hšhenkirchen-Siegertsbrunn, Am Baumgarten, 1
85635, Hšhenkirchen-Siegertsbrunn, Egmatinger Stra§e, 1
85635, Hšhenkirchen-Siegertsbrunn, Sigohostra§e, 8
85635, Hšhenkirchen-Siegertsbrunn, Hirschwinkelstra§e, 1
83483, Bischofswiesen, Franz-Maltan-Stra§e, 1
83483, Bischofswiesen, Am Datzmann, 55
83483, Bischofswiesen, Jennerweg, 5
83483, Bischofswiesen, Fronwiese, 1
83483, Bischofswiesen, Grabenweg, 1
