PLZ,Ort,Strasse,Erste Hausnummer
93086,Hofdorf,In der Point,1
93086,Wörth an der Donau,Hirschbuckelweg ,1
93109,Wiesent,Hausladenweg ,1
93019,Wiesent,Lintelostraße,3
93019,Wiesent,Stiftweg,3
93019,Wiesent,Handwerkerhof,1
93019,Wiesent,Handwerkerhof,1
71384,Weinstadt,Eichenstraße,1
71334,Waiblingen,Panoramastraße,1
74939,Zuzenhausen,Mozartweg,1
74939,Zuzenhausen,von-Venningen-Straße ,1
74939,Zuzenhausen,Elsenzweg ,1
94356,Kirchroth,Keltenring,1
94356,Kirchroth,Kreuzacker,1
94315,Straubing,Kelheimer Straße,6
94356,Straubing,Röntgenstraße,14
