PLZ,Ort,Strasse,Erste Hausnummer
87499,Wildpoldsried,Marktoberdorfer Straße,1
87499,Wildpoldsried,Salzstraße,1
87499,Wildpoldsried,Auf dem G'hau,1
87499,Wildpoldsried,Bahnhofstraße,1
87499,Wildpoldsried,Grüntenstraße,1
87499,Wildpoldsried,Günzacher Straße,1
87499,Wildpoldsried,Cypriansstraße,1
82266,Inning,Hirtenweg,1
82266,Inning,Zweigstraße,1
82266,Inning,Stegner Weg,1
82266,Inning,Am Kastenacker,1
95485,Warmensteinach ,Kirchweg,1
95485,Warmensteinach ,Gablonzer Straße,1
95485,Warmensteinach ,Obere Alte Poststraße,1
95485,Warmensteinach ,Sudetenstraße,1
63879,Weibersbrunn,Am Ausblick,1
63879,Weibersbrunn,Am Eichwald,1
63879,Weibersbrunn,Hauptstraße,1
63879,Weibersbrunn,Pfarrweg,1
81739,München,Rübezahlstraße,1
81739,München,Lavaterstraße,1
81739,München,Matthissonstraße,1
81739,München,Waldperlacher Straße,1
81739,München,Am Bauernwald,1
