PLZ, Ort, Straße, Erste Hausnummer
82110, Germering, Dorfstraße, 22
82110, Germering, Angerhofstraße, 1
82110, Germering, Wettersteinstraße, 5
82110, Germering, Wiesenstraße, 1
82110, Germering, Föhrenstraße, 1
81245, München, Olchinger Weg, 1
81245, München, Schwemmstraße, 1
81245, München, Schöngeisinger Straße, 1
81245, München, Ostermoosstraße, 1
81245, München, Hohenesterstraße, 1
85757, Karlsfeld, Winterstraße, 1
85757, Karlsfeld, Nelkenstraße, 1
85757, Karlsfeld, Gärtnerweg, 10
85757, Karlsfeld, Georg-Queri-Straße, 1
85757, Karlsfeld, Zweigstraße, 1
80939, München, Schwarzanger, 1
80939, München, Grasrainweg, 1
80939, München, Untere Länge, 1
80939, München, Obere Länge, 1
80939, München, Schmidbartlanger, 1
85737, Ismaning, Moarstraße, 1
85737, Ismaning, Freimanner Straße, 1
85737, Ismaning, Haushamerstraße, 1
85737, Ismaning, Theodolindenstraße, 1
85737, Ismaning, Mayerbacherstraße, 1
85586, Poing, Westring, 10
85586, Poing, Hohenzollernstraße, 3
85586, Poing, Hohenstaufenring, 1
85586, Poing, Watzmannstraße, 10
85586, Poing, Rosenstraße, 1
85604, Zorneding, Ilchinger Weg, 1
85604, Zorneding, Rosa-Schöpf-Straße, 1
85604, Zorneding, Am Kapellenberg, 11
85604, Zorneding, Am Ziegelland, 27
85604, Zorneding, Am Bergacker, 1
85604, Zorneding, Ingelsberger Weg, 27
85662, Hohenbrunn, Höhenkirchener Straße, 1
85662, Hohenbrunn, Am Schulgarten, 1
85662, Hohenbrunn, Brunnengasse, 1
85662, Hohenbrunn, Riemerlinger Straße, 10
85635, Höhenkirchen-Siegertsbrunn, Haringstraße, 1
85635, Höhenkirchen-Siegertsbrunn, Am Baumgarten, 1
85635, Höhenkirchen-Siegertsbrunn, Egmatinger Straße, 1
85635, Höhenkirchen-Siegertsbrunn, Sigohostraße, 8
85635, Höhenkirchen-Siegertsbrunn, Hirschwinkelstraße, 1
83483, Bischofswiesen, Franz-Maltan-Straße, 1
83483, Bischofswiesen, Am Datzmann, 55
83483, Bischofswiesen, Jennerweg, 5
83483, Bischofswiesen, Fronwiese, 1
83483, Bischofswiesen, Grabenweg, 1
