PLZ,Ort,Strasse,Erste Hausnummer
95182,Döhlau,Bergweg,2
95182,Döhlau,Wiesenweg,9
95182,Döhlau,Martin-Luther-Straße,1
95182,Döhlau,Jean-Paul-Straße,2
95182,Döhlau,Waldsteinstraße,1
95182,Döhlau,Eichenweg,4
95511,Mistelbach,Wiesenstraße,1
95511,Mistelbach,Gartenstraße,1
95511,Mistelbach,Am Sandacker,2
95511,Mistelbach,Warmuthsreut,1
95511,Mistelbach,Kirchröthe,39
95490,Mistelgau,Birkenweg,1
95490,Mistelgau,Frankenhaager Straße,1
95490,Mistelgau,Brückleinstraße,1
95490,Mistelgau,Eichenstraße,1
95490,Mistelgau,Sudetenstraße,1
95490,Mistelgau,Schlesienstraße,18
96142,Hollfeld,Königsfelder Weg,3
96142,Hollfeld,Dr.Dorn-Straße,1
96142,Hollfeld,Theresienstraße,6
96142,Hollfeld,Schönfelder Weg,7
96142,Hollfeld,Georg-Grasser-Straße,4
96123,Litzendorf,Hauptsmoorstraße,10
96123,Litzendorf,Eichenauerring,1
96123,Litzendorf,Tiergartenstraße,10
96123,Litzendorf,Erlenweg,4
96123,Litzendorf,Jurablick,6
96123,Litzendorf,Untere Leite,1
