PLZ,Ort,Straße,Erste Hausnummer
86879,Wiedergeltingen,Steingadener Str.,1
86879,Wiedergeltingen,Kapellenweg,1
86879,Wiedergeltingen,Bahnhofstrasse,1
86879,Wiedergeltingen,Stockheimer Strasse,1
86879,Wiedergeltingen,Am Graben,1
86879,Wiedergeltingen,Am Anger,1
86879,Wiedergeltingen,Amberger Str.,1
86879,Wiedergeltingen,Kulturweg,1
86842,Türkheim,Tulpenweg,1
86842,Türkheim,Römerweg,1
86842,Türkheim,Molkereistrasse,1
86842,Türkheim,Dorfstrasse,1
86842,Türkheim,Reuteweg,1
86842,Türkheim,Feldstraße,1
86842,Türkheim,Schubertstrasse,1
86842,Türkheim,Mühlenstrasse,1
86842,Türkheim,Herbert-Kessel-Straße,1
86842,Türkheim,Haydnstraße,1
86842,Türkheim,Alpenstrasse,1
86842,Türkheim,Hochvogelstrasse,1
86842,Türkheim,Badstraße,1
86842,Türkheim,Keltereistraße,1
86842,Türkheim,Auenweg,1
86842,Türkheim,Grabenstraße,1
86842,Türkheim,Leonhardstraße,1
86842,Türkheim,Webereisstraße,1
86842,Türkheim,Blumenstraße,1
86842,Türkheim,Sudetenstraße,1
86842,Türkheim,Pommernstraße,1
86842,Türkheim,Angerstraße,1
86842,Türkheim,Böhmerwaldstraße,1
86842,Türkheim,Danziger Str.,1
86842,Türkheim,Tilsiter Str.,1
86842,Türkheim,Augsburger Str,1
87719,Mindelheim,Siedlerstraße ,1
87719,Mindelheim,Nordenstraße,1
87719,Mindelheim,Gartenstraße,1
87719,Mindelheim,Danziger Str.,1
87719,Mindelheim,Siedlerstraße ,1
87719,Mindelheim,Ramminger Str.,1
87719,Mindelheim,Joseph-Bernhart-Straße,1
87719,Mindelheim,Bourg-de-Peage-Straße ,1
87719,Mindelheim,Christoph-Scheiner-Straße,1
87772,Pfaffenhausen,Weberstraße ,1
87772,Pfaffenhausen,Kaffeegasse,1
87772,Pfaffenhausen,Burgstraße,1
87772,Pfaffenhausen,Tulpenstraße,1
87772,Pfaffenhausen,Frühlingstraße,1
87772,Pfaffenhausen,Blumenstraße,1
87772,Pfaffenhausen,Südring,1
87739,Breitenbrunn,Gässele ,1
87739,Breitenbrunn,Gartenstraße,1
87739,Breitenbrunn,Kreuzherrenweg,1
87739,Breitenbrunn,Bahnhofstrasse,1
87739,Breitenbrunn,Kirchstraße,1
87739,Breitenbrunn,Quellenweg,1
87739,Breitenbrunn,Bachstraße,1
87739,Breitenbrunn,Weilbacher Str.,1
87739,Breitenbrunn,Mühlenstraße,1
87757,Kirchheim,Ostring ,1
87757,Kirchheim,Jahnstraße,1
87757,Kirchheim,Haselbacher Str.,1
87757,Kirchheim,An der Steige,1
87757,Kirchheim,Lindenstraße,1
87757,Kirchheim,Dorfstraße,1
86483,Balzhausen,Lehenstraße ,1
86483,Balzhausen,Am Haldenberg,1
86483,Balzhausen,Kellerbergstraße,1
86470,Thannhausen,Bäckerstraße ,1
86470,Thannhausen,Jahnstraße,1
86470,Thannhausen,Lilienstraße,1
86470,Thannhausen,Mozartstraße,1
86470,Thannhausen,Krumbacher Str.,1
86470,Thannhausen,Brauerstraße,1
